,,,,,,
Ordem,Vagão,Data iníc.real,Data fim real,Hora iníc.real,Hora fim real,Trabalho real
202001583786,Vagão 67,2/5/2021,2/5/2021,09:30:01,11:30:00,1:59:59 AM
202001585418,Vagão 68,2/5/2021,2/5/2021,11:31:01,12:31:00,12:59:59 AM
202001585866,Vagão 69,2/5/2021,2/5/2021,13:35:01,14:40:00,1:04:59 AM
202001585517,Vagão 70,2/7/2021,2/7/2021,19:20:01,20:21:00,1:00:59 AM
202001585518,Vagão 71,2/7/2021,2/7/2021,21:00:01,22:00:00,12:59:59 AM
202001585762,Vagão 72,2/8/2021,2/8/2021,08:30:01,10:00:00,1:29:59 AM
202001585798,Vagão 73,2/8/2021,2/8/2021,11:40:01,12:40:00,12:59:59 AM
202001585805,Vagão 74,2/8/2021,2/8/2021,13:41:01,14:40:00,12:58:59 AM
202001587673,Vagão 75,2/8/2021,2/8/2021,19:40:01,20:30:00,12:49:59 AM
202001585125,Vagão 76,2/9/2021,2/9/2021,17:40:01,18:45:00,1:04:59 AM
202001585125,Vagão 77,2/9/2021,2/9/2021,09:40:01,10:40:00,12:59:59 AM
202100392686,Vagão 78,2/9/2021,2/9/2021,16:00:01,17:30:00,1:29:59 AM
202001585163,Vagão 79,2/10/2021,2/10/2021,14:20:01,15:10:00,12:49:59 AM
202001588128,Vagão 80,2/11/2021,2/11/2021,15:30:01,16:50:00,1:19:59 AM
202001597391,Vagão 81,2/11/2021,2/11/2021,11:05:01,12:20:00,1:14:59 AM
202001585585,Vagão 82,2/12/2021,2/12/2021,01:50:01,02:08:00,12:17:59 AM
202001585682,Vagão 83,2/12/2021,2/12/2021,09:30:01,11:40:00,2:09:59 AM
202001588073,Vagão 84,2/12/2021,2/12/2021,13:10:01,14:35:00,1:24:59 AM
202001588199,Vagão 85,2/12/2021,2/12/2021,20:08:01,21:22:00,1:13:59 AM
202001588191,Vagão 86,2/12/2021,2/13/2021,23:00:01,00:45:00,12:01:45 AM
202001592458,Vagão 87,2/15/2021,2/15/2021,22:45:01,23:59:00,1:13:59 AM
202001592480,Vagão 88,2/16/2021,2/16/2021,11:00:01,12:10:00,1:09:59 AM
202001592482,Vagão 89,2/16/2021,2/16/2021,20:15:01,21:28:00,1:12:59 AM
202001592489,Vagão 90,2/16/2021,2/16/2021,16:00:01,17:05:00,1:04:59 AM
202001592450,Vagão 91,2/18/2021,2/18/2021,09:10:01,10:00:00,12:49:59 AM
202001592452,Vagão 92,2/18/2021,2/18/2021,15:45:01,16:30:00,12:44:59 AM
202001592454,Vagão 93,2/18/2021,2/18/2021,13:05:01,14:00:00,12:54:59 AM
202001587577,Vagão 94,2/19/2021,2/19/2021,20:00:01,21:00:00,12:59:59 AM
202001588121,Vagão 95,2/19/2021,2/19/2021,09:10:01,10:10:00,12:59:59 AM
202001592456,Vagão 96,2/19/2021,2/19/2021,11:25:01,12:20:00,12:54:59 AM
202001598362,Vagão 97,2/19/2021,2/19/2021,22:10:01,23:28:00,1:17:59 AM
202001598367,Vagão 98,2/19/2021,2/19/2021,14:31:01,15:50:00,1:18:59 AM
202002371838,Vagão 99,2/20/2021,2/20/2021,21:06:01,22:26:00,1:19:59 AM
202001590743,Vagão 100,2/21/2021,2/21/2021,10:00:01,11:20:00,1:19:59 AM
202002483572,Vagão 101,2/20/2021,2/21/2021,23:05:01,00:10:00,1:05:00 AM
202001592629,Vagão 102,2/23/2021,2/23/2021,14:30:01,15:10:00,12:39:59 AM
202001592687,Vagão 103,2/23/2021,2/23/2021,16:30:01,17:10:00,12:39:59 AM
202001592627,Vagão 104,2/24/2021,2/24/2021,13:45:01,14:30:00,12:44:59 AM
202001592682,Vagão 105,2/24/2021,2/24/2021,21:00:01,22:00:00,12:59:59 AM
202001592684,Vagão 106,2/24/2021,2/24/2021,10:45:01,11:30:00,12:44:59 AM
202001592689,Vagão 107,2/24/2021,2/24/2021,09:00:01,09:40:00,12:39:59 AM
202001592484,Vagão 108,2/27/2021,2/27/2021,18:25:01,19:15:00,12:49:59 AM
202001592487,Vagão 109,2/27/2021,2/27/2021,16:00:01,17:00:00,12:59:59 AM
202001592631,Vagão 110,2/27/2021,2/27/2021,21:35:01,22:50:00,1:14:59 AM
202001592637,Vagão 111,2/27/2021,2/27/2021,19:19:01,20:31:00,1:11:59 AM
202001592633,Vagão 112,2/27/2021,2/28/2021,23:00:01,00:12:00,1:12:00 AM
